condition_id,market_duration,from,to,seconds
0xbfcc617f137c8b61df0735f5bf24701ca2b283568431935779a29d9bfc6540c3,300,Down,Up,6
0xbfcc617f137c8b61df0735f5bf24701ca2b283568431935779a29d9bfc6540c3,300,Up,Down,17
0xbfcc617f137c8b61df0735f5bf24701ca2b283568431935779a29d9bfc6540c3,300,Down,Up,11
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Up,Down,28
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Down,Up,27
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Up,Down,2
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Down,Up,6
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Up,Down,21
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Down,Up,9
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Up,Down,13
0x7ef915d645d7134546934741512f685bb135ec8b4cbe620a14f7c739d5c6c5d3,300,Down,Up,6
0x6500bdfd24b32d8f25cc6911dc29ef3344cf2444efa68dd202d23e1b7150d386,300,Up,Down,3
0x6500bdfd24b32d8f25cc6911dc29ef3344cf2444efa68dd202d23e1b7150d386,300,Down,Up,9
0x6500bdfd24b32d8f25cc6911dc29ef3344cf2444efa68dd202d23e1b7150d386,300,Up,Down,3
0x195ebcc5f48613d22250d71b43bccc03ad3dc9215f3ecd99ec4f0df20b6b1b31,300,Up,Down,30
0x195ebcc5f48613d22250d71b43bccc03ad3dc9215f3ecd99ec4f0df20b6b1b31,300,Down,Up,63
0x195ebcc5f48613d22250d71b43bccc03ad3dc9215f3ecd99ec4f0df20b6b1b31,300,Up,Down,7
0x6bfec5d51ed7c45bb9eff18da53499641624193d44da792955fdc6a5a8d3103f,300,Down,Up,26
0x6bfec5d51ed7c45bb9eff18da53499641624193d44da792955fdc6a5a8d3103f,300,Up,Down,13
0x6fcd3eef79eb1cb65030b0a91d306ccff32f03274e6b8ed826f4f2fa68655758,300,Up,Down,11
0xb93acce4bef30016d54aa1543ffbb3a87145ec6feeb7f887ed4f00b32b860da0,300,Up,Down,44
0x3781844a6092205350eb431c72ada687d26b8ec6d3452dcb7555f47d9ad2b1af,300,Down,Up,14
0x3781844a6092205350eb431c72ada687d26b8ec6d3452dcb7555f47d9ad2b1af,300,Up,Down,3
