market_slug,market_duration,first_ts,last_ts,rows,conditions,split,market_start_ms,market_end_ms
btc-updown-15m-1789764300,15m,1789764300375,1789765199614,1674,1,train,1789764300000,1789765200000
btc-updown-5m-1789764300,5m,1789764305303,1789764599099,532,1,train,1789764300000,1789764600000
btc-updown-5m-1789764600,5m,1789764600398,1789764899760,570,1,train,1789764600000,1789764900000
btc-updown-5m-1789764900,5m,1789764900763,1789765199458,570,1,train,1789764900000,1789765200000
btc-updown-5m-1789765200,5m,1789765200486,1789765499889,554,1,train,1789765200000,1789765500000
btc-updown-15m-1789765200,15m,1789765200614,1789766099716,1662,1,train,1789765200000,1789766100000
btc-updown-5m-1789765500,5m,1789765500933,1789765799411,562,1,train,1789765500000,1789765800000
btc-updown-5m-1789765800,5m,1789765801838,1789766022993,414,1,train,1789765800000,1789766100000
btc-updown-15m-1789766100,15m,1789766101746,1789766999842,1694,1,train,1789766100000,1789767000000
btc-updown-5m-1789766100,5m,1789766101903,1789766382804,516,1,train,1789766100000,1789766400000
btc-updown-5m-1789766400,5m,1789766404121,1789766687366,544,1,train,1789766400000,1789766700000
btc-updown-5m-1789766700,5m,1789766703624,1789766980957,516,1,train,1789766700000,1789767000000
btc-updown-15m-1789767000,15m,1789767000871,1789767899342,1698,1,train,1789767000000,1789767900000
btc-updown-5m-1789767000,5m,1789767001742,1789767299512,564,1,train,1789767000000,1789767300000
btc-updown-5m-1789767300,5m,1789767300534,1789767539777,456,1,train,1789767300000,1789767600000
btc-updown-5m-1789767600,5m,1789767600827,1789767899768,556,1,train,1789767600000,1789767900000
btc-updown-5m-1789767900,5m,1789767900788,1789768199726,560,1,train,1789767900000,1789768200000
btc-updown-15m-1789767900,15m,1789767901219,1789768799601,1708,1,train,1789767900000,1789768800000
btc-updown-5m-1789768200,5m,1789768200823,1789768499928,568,1,train,1789768200000,1789768500000
btc-updown-5m-1789768500,5m,1789768502180,1789768799622,568,1,train,1789768500000,1789768800000
btc-updown-15m-1789768800,15m,1789768801170,1789769699695,1700,1,train,1789768800000,1789769700000
btc-updown-5m-1789768800,5m,1789768801546,1789769099630,566,1,train,1789768800000,1789769100000
btc-updown-5m-1789769100,5m,1789769102499,1789769318624,410,1,train,1789769100000,1789769400000
btc-updown-5m-1789769400,5m,1789769400803,1789769580745,340,1,train,1789769400000,1789769700000
btc-updown-5m-1789769700,5m,1789769701205,1789769905803,392,1,train,1789769700000,1789770000000
btc-updown-15m-1789769700,15m,1789769701982,1789770597873,1700,1,train,1789769700000,1789770600000
btc-updown-5m-1789770000,5m,1789770001696,1789770231798,434,1,train,1789770000000,1789770300000
btc-updown-5m-1789770300,5m,1789770300367,1789770599103,570,1,train,1789770300000,1789770600000
btc-updown-15m-1789770600,15m,1789770601903,1789771371472,1458,1,train,1789770600000,1789771500000
btc-updown-5m-1789770600,5m,1789770602056,1789770888112,546,1,train,1789770600000,1789770900000
btc-updown-5m-1789770900,5m,1789770904450,1789771147742,456,1,train,1789770900000,1789771200000
btc-updown-5m-1789771200,5m,1789771201933,1789771499945,570,1,train,1789771200000,1789771500000
btc-updown-5m-1789771500,5m,1789771501571,1789771799261,574,1,train,1789771500000,1789771800000
btc-updown-15m-1789771500,15m,1789771501624,1789772400160,1706,1,train,1789771500000,1789772400000
btc-updown-5m-1789771800,5m,1789771800365,1789772094780,564,1,train,1789771800000,1789772100000
btc-updown-5m-1789772100,5m,1789772100408,1789772399145,566,1,train,1789772100000,1789772400000
btc-updown-5m-1789772400,5m,1789772400286,1789772684104,526,1,train,1789772400000,1789772700000
btc-updown-15m-1789772400,15m,1789772401232,1789773300031,1706,1,train,1789772400000,1789773300000
btc-updown-5m-1789772700,5m,1789772704942,1789772951142,464,1,train,1789772700000,1789773000000
btc-updown-5m-1789773000,5m,1789773001612,1789773299558,568,1,train,1789773000000,1789773300000
btc-updown-5m-1789773300,5m,1789773302123,1789773599678,572,1,train,1789773300000,1789773600000
btc-updown-15m-1789773300,15m,1789773302198,1789774199737,1702,1,train,1789773300000,1789774200000
btc-updown-5m-1789773600,5m,1789773600694,1789773899842,570,1,train,1789773600000,1789773900000
btc-updown-5m-1789773900,5m,1789773901572,1789774197028,560,1,train,1789773900000,1789774200000
btc-updown-15m-1789774200,15m,1789774200768,1789775048215,1542,1,train,1789774200000,1789775100000
btc-updown-5m-1789774200,5m,1789774203405,1789774479946,512,1,train,1789774200000,1789774500000
btc-updown-5m-1789774500,5m,1789774501208,1789774732208,428,1,train,1789774500000,1789774800000
btc-updown-5m-1789774800,5m,1789774801964,1789775099399,562,1,train,1789774800000,1789775100000
btc-updown-5m-1789775100,5m,1789775102091,1789775399336,572,1,train,1789775100000,1789775400000
btc-updown-15m-1789775100,15m,1789775102226,1789775999874,1700,1,train,1789775100000,1789776000000
btc-updown-5m-1789775400,5m,1789775404849,1789775689841,542,1,train,1789775400000,1789775700000
btc-updown-5m-1789775700,5m,1789775701061,1789775993282,538,1,train,1789775700000,1789776000000
btc-updown-15m-1789776000,15m,1789776001379,1789776899471,1684,1,train,1789776000000,1789776900000
btc-updown-5m-1789776000,5m,1789776004629,1789776299167,556,1,train,1789776000000,1789776300000
btc-updown-5m-1789776300,5m,1789776302207,1789776599354,554,1,train,1789776300000,1789776600000
btc-updown-5m-1789776600,5m,1789776600361,1789776899804,570,1,train,1789776600000,1789776900000
btc-updown-15m-1789776900,15m,1789776900766,1789777752286,1620,1,train,1789776900000,1789777800000
btc-updown-5m-1789776900,5m,1789776901091,1789777176038,502,1,train,1789776900000,1789777200000
btc-updown-5m-1789777200,5m,1789777201129,1789777498998,558,1,train,1789777200000,1789777500000
btc-updown-5m-1789777500,5m,1789777501141,1789777773657,498,1,train,1789777500000,1789777800000
btc-updown-15m-1789777800,15m,1789777800736,1789778700824,1688,1,train,1789777800000,1789778700000
btc-updown-5m-1789777800,5m,1789777800901,1789777925963,232,1,train,1789777800000,1789778100000
btc-updown-5m-1789778100,5m,1789778100383,1789778399434,574,1,train,1789778100000,1789778400000
btc-updown-5m-1789778400,5m,1789778401729,1789778700135,566,1,train,1789778400000,1789778700000
btc-updown-5m-1789778700,5m,1789778701786,1789778999223,566,1,train,1789778700000,1789779000000
btc-updown-15m-1789778700,15m,1789778701951,1789779464359,1386,1,train,1789778700000,1789779600000
btc-updown-5m-1789779000,5m,1789779000376,1789779220383,396,1,train,1789779000000,1789779300000
btc-updown-5m-1789779300,5m,1789779302121,1789779600155,498,1,train,1789779300000,1789779600000
btc-updown-5m-1789779600,5m,1789779601581,1789779899999,496,1,train,1789779600000,1789779900000
btc-updown-15m-1789779600,15m,1789779602539,1789780426642,1440,1,train,1789779600000,1789780500000
btc-updown-5m-1789779900,5m,1789779901036,1789780134953,428,1,train,1789779900000,1789780200000
btc-updown-5m-1789780200,5m,1789780201316,1789780487729,534,1,train,1789780200000,1789780500000
btc-updown-15m-1789780500,15m,1789780500318,1789781399333,1668,1,train,1789780500000,1789781400000
btc-updown-5m-1789780500,5m,1789780503575,1789780744007,450,1,train,1789780500000,1789780800000
btc-updown-5m-1789780800,5m,1789780800368,1789781028306,420,1,train,1789780800000,1789781100000
btc-updown-5m-1789781100,5m,1789781101067,1789781382764,520,1,train,1789781100000,1789781400000
btc-updown-15m-1789781400,15m,1789781401301,1789782223966,1544,1,train,1789781400000,1789782300000
btc-updown-5m-1789781400,5m,1789781403989,1789781699960,556,1,train,1789781400000,1789781700000
btc-updown-5m-1789781700,5m,1789781701072,1789782000033,556,1,train,1789781700000,1789782000000
btc-updown-5m-1789782000,5m,1789782001596,1789782299301,570,1,train,1789782000000,1789782300000
btc-updown-15m-1789782300,15m,1789782300401,1789783199483,1610,1,train,1789782300000,1789783200000
btc-updown-5m-1789782300,5m,1789782301849,1789782599786,564,1,train,1789782300000,1789782600000
btc-updown-5m-1789782600,5m,1789782600818,1789782829461,418,1,train,1789782600000,1789782900000
btc-updown-5m-1789782900,5m,1789782901639,1789783182822,524,1,train,1789782900000,1789783200000
btc-updown-15m-1789783200,15m,1789783200766,1789784083781,1662,1,train,1789783200000,1789784100000
btc-updown-5m-1789783200,5m,1789783204115,1789783498751,562,1,train,1789783200000,1789783500000
btc-updown-5m-1789783500,5m,1789783504208,1789783799505,560,1,train,1789783500000,1789783800000
btc-updown-5m-1789783800,5m,1789783800543,1789784099602,568,1,train,1789783800000,1789784100000
btc-updown-5m-1789784100,5m,1789784102132,1789784399844,568,1,train,1789784100000,1789784400000
btc-updown-15m-1789784100,15m,1789784104673,1789784999569,1700,1,train,1789784100000,1789785000000
btc-updown-5m-1789784400,5m,1789784400874,1789784616971,414,1,train,1789784400000,1789784700000
btc-updown-5m-1789784700,5m,1789784701011,1789784920250,418,1,train,1789784700000,1789785000000
btc-updown-15m-1789785000,15m,1789785000575,1789785892115,1684,1,train,1789785000000,1789785900000
btc-updown-5m-1789785000,5m,1789785000639,1789785299412,560,1,train,1789785000000,1789785300000
btc-updown-5m-1789785300,5m,1789785300485,1789785590036,550,1,train,1789785300000,1789785600000
btc-updown-5m-1789785600,5m,1789785600942,1789785899521,554,1,train,1789785600000,1789785900000
btc-updown-5m-1789785900,5m,1789785901457,1789786180506,524,1,train,1789785900000,1789786200000
btc-updown-15m-1789785900,15m,1789785903195,1789786800229,1714,1,train,1789785900000,1789786800000
btc-updown-5m-1789786200,5m,1789786201945,1789786499658,568,1,train,1789786200000,1789786500000
btc-updown-5m-1789786500,5m,1789786501788,1789786772306,496,1,train,1789786500000,1789786800000
btc-updown-5m-1789786800,5m,1789786801256,1789787098793,556,1,train,1789786800000,1789787100000
btc-updown-15m-1789786800,15m,1789786802063,1789787699114,1704,1,train,1789786800000,1789787700000
btc-updown-5m-1789787100,5m,1789787105086,1789787397980,560,1,train,1789787100000,1789787400000
btc-updown-5m-1789787400,5m,1789787400438,1789787699481,576,1,train,1789787400000,1789787700000
btc-updown-15m-1789787700,15m,1789787700306,1789788535964,1590,1,train,1789787700000,1789788600000
btc-updown-5m-1789787700,5m,1789787701164,1789787999126,572,1,train,1789787700000,1789788000000
btc-updown-5m-1789788000,5m,1789788000697,1789788299272,560,1,train,1789788000000,1789788300000
btc-updown-5m-1789788300,5m,1789788304826,1789788581345,510,1,train,1789788300000,1789788600000
btc-updown-15m-1789788600,15m,1789788600435,1789789499678,1718,1,train,1789788600000,1789789500000
btc-updown-5m-1789788600,5m,1789788602287,1789788899154,568,1,train,1789788600000,1789788900000
btc-updown-5m-1789788900,5m,1789788900303,1789789199021,570,1,train,1789788900000,1789789200000
btc-updown-5m-1789789200,5m,1789789200277,1789789499772,460,1,train,1789789200000,1789789500000
btc-updown-15m-1789789500,15m,1789789501133,1789790399113,1720,1,train,1789789500000,1789790400000
btc-updown-5m-1789789500,5m,1789789502049,1789789799007,570,1,train,1789789500000,1789789800000
btc-updown-5m-1789789800,5m,1789789801873,1789790099970,570,1,train,1789789800000,1789790100000
btc-updown-5m-1789790100,5m,1789790101897,1789790399694,570,1,train,1789790100000,1789790400000
btc-updown-15m-1789790400,15m,1789790400343,1789791299626,1718,1,train,1789790400000,1789791300000
btc-updown-5m-1789790400,5m,1789790401587,1789790699658,572,1,train,1789790400000,1789790700000
btc-updown-5m-1789790700,5m,1789790701761,1789790989886,548,1,train,1789790700000,1789791000000
btc-updown-5m-1789791000,5m,1789791000686,1789791299171,578,1,train,1789791000000,1789791300000
btc-updown-5m-1789791300,5m,1789791300300,1789791588253,550,1,train,1789791300000,1789791600000
