label,class,feature,signals,markets,missing,q25,median,q75
book_label,complete,first_ask,178,42,0,0.05,0.07500000000000001,0.11
book_label,complete,first_bid,178,42,0,0.04,0.065,0.1
book_label,complete,first_ask_qty,178,42,0,171.24,344.87,602.9100000000001
book_label,complete,first_bid_qty,178,42,0,144.56,320.07,547.98
book_label,complete,first_spread,178,42,0,0.009999999999999995,0.010000000000000002,0.010000000000000009
book_label,complete,opposite_ask,178,42,0,0.9,0.935,0.96
book_label,complete,opposite_bid,178,42,0,0.89,0.925,0.95
book_label,complete,opposite_ask_qty,178,42,0,144.56,320.07,547.98
book_label,complete,opposite_bid_qty,178,42,0,171.24,344.87,602.9100000000001
book_label,complete,opposite_spread,178,42,0,0.010000000000000009,0.010000000000000009,0.010000000000000009
book_label,complete,depth_imbalance,178,42,0,-0.4823359384181307,0.04772045849685484,0.4823533262859515
book_label,complete,btc_return_1s,178,42,0,0.0,0.0,1.230258376283544e-07
book_label,complete,btc_return_5s,178,42,0,-1.23169599630657e-07,0.0,2.063693403620004e-05
book_label,complete,btc_return_15s,178,42,0,-1.233335670813851e-07,1.2317553210738907e-07,9.320948855406908e-05
book_label,complete,time_remaining_ms,178,42,0,44489.25,72651.5,116546.0
book_label,complete,opposite_depth_coverage_t0,178,42,0,1.2019,2.50048,4.9291825
book_label,complete,pair_cash_required_t0,178,42,0,84.58333333333333,112.77777777777777,190.8885125
book_label,complete,exit_coverage_t0,178,42,0,1.2019,2.50048,4.9291825
book_label,reduced,first_ask,60,30,0,0.05,0.07,0.09
book_label,reduced,first_bid,60,30,0,0.04,0.06,0.08
book_label,reduced,first_ask_qty,60,30,0,217.965,460.87,626.11
book_label,reduced,first_bid_qty,60,30,0,51.462500000000006,133.16500000000002,280.8625
book_label,reduced,first_spread,60,30,0,0.009999999999999995,0.010000000000000002,0.010000000000000009
book_label,reduced,opposite_ask,60,30,0,0.92,0.94,0.96
book_label,reduced,opposite_bid,60,30,0,0.91,0.93,0.95
book_label,reduced,opposite_ask_qty,60,30,0,51.462500000000006,133.16500000000002,280.8625
book_label,reduced,opposite_bid_qty,60,30,0,217.965,460.87,626.11
book_label,reduced,opposite_spread,60,30,0,0.010000000000000009,0.010000000000000009,0.010000000000000009
book_label,reduced,depth_imbalance,60,30,0,-0.05916196561405983,0.46418787013796614,0.8042061901739121
book_label,reduced,btc_return_1s,60,30,0,-1.2302240326445002e-07,0.0,1.231377722565874e-07
book_label,reduced,btc_return_5s,60,30,0,-1.2317972328257376e-07,0.0,1.2337454036170925e-07
book_label,reduced,btc_return_15s,60,30,0,-4.149170142131453e-06,0.0,0.00010133038559967389
book_label,reduced,time_remaining_ms,60,30,0,41060.75,62545.5,100567.5
book_label,reduced,opposite_depth_coverage_t0,60,30,0,0.36010831637103813,0.8471,1.6658807671490763
book_label,reduced,pair_cash_required_t0,60,30,0,101.49999999999999,144.99999999999997,202.99999999999997
book_label,reduced,exit_coverage_t0,60,30,0,0.36010831637103813,0.8471,1.6658807671490763
book_label,impossible,first_ask,37,37,0,0.04,0.06,0.09
book_label,impossible,first_bid,37,37,0,0.03,0.05,0.08
book_label,impossible,first_ask_qty,37,37,0,207.0,378.53,576.0
