id,market_slug,anchor_ts_ms,book_label,status
11416,btc-updown-5m-1789765200,1789765359942,complete,complete
11470,btc-updown-5m-1789765200,1789765375566,complete,complete
11524,btc-updown-5m-1789765200,1789765390643,complete,complete
11580,btc-updown-5m-1789765200,1789765405676,complete,complete
11636,btc-updown-5m-1789765200,1789765420928,complete,complete
11696,btc-updown-5m-1789765200,1789765436494,complete,reduced
11756,btc-updown-5m-1789765200,1789765452147,complete,impossible
11814,btc-updown-5m-1789765200,1789765467922,complete,impossible
11874,btc-updown-5m-1789765200,1789765483599,complete,impossible
11930,btc-updown-5m-1789765200,1789765498797,impossible,impossible
12836,btc-updown-5m-1789765500,1789765741765,complete,complete
12898,btc-updown-5m-1789765500,1789765757479,complete,complete
12958,btc-updown-5m-1789765500,1789765773058,complete,complete
13014,btc-updown-5m-1789765500,1789765788917,impossible,impossible
16036,btc-updown-5m-1789766400,1789766650992,complete,complete
16096,btc-updown-5m-1789766400,1789766666619,complete,complete
16170,btc-updown-5m-1789766400,1789766682038,impossible,impossible
22634,btc-updown-5m-1789768200,1789768449781,reduced,reduced
22694,btc-updown-5m-1789768200,1789768465395,reduced,reduced
22752,btc-updown-5m-1789768200,1789768481257,complete,reduced
22812,btc-updown-5m-1789768200,1789768496797,impossible,impossible
23706,btc-updown-5m-1789768500,1789768731390,complete,complete
23766,btc-updown-5m-1789768500,1789768747005,complete,complete
23828,btc-updown-5m-1789768500,1789768762883,complete,reduced
23888,btc-updown-5m-1789768500,1789768778640,reduced,impossible
23948,btc-updown-5m-1789768500,1789768794467,impossible,impossible
37314,btc-updown-5m-1789772400,1789772608976,complete,complete
37374,btc-updown-5m-1789772400,1789772624721,complete,complete
37432,btc-updown-5m-1789772400,1789772640395,complete,complete
37494,btc-updown-5m-1789772400,1789772656040,reduced,reduced
37584,btc-updown-5m-1789772400,1789772675638,impossible,impossible
39578,btc-updown-5m-1789773000,1789773246231,complete,complete
39638,btc-updown-5m-1789773000,1789773261808,complete,complete
39698,btc-updown-5m-1789773000,1789773277565,complete,reduced
39758,btc-updown-5m-1789773000,1789773293109,impossible,impossible
49064,btc-updown-5m-1789775700,1789775849650,complete,complete
49124,btc-updown-5m-1789775700,1789775865448,reduced,reduced
49180,btc-updown-5m-1789775700,1789775880571,complete,complete
49236,btc-updown-5m-1789775700,1789775895623,reduced,reduced
49294,btc-updown-5m-1789775700,1789775911109,complete,reduced
49348,btc-updown-5m-1789775700,1789775926111,reduced,impossible
49396,btc-updown-5m-1789775700,1789775942036,reduced,impossible
49444,btc-updown-5m-1789775700,1789775958519,reduced,impossible
49498,btc-updown-5m-1789775700,1789775974353,reduced,impossible
49558,btc-updown-5m-1789775700,1789775990100,impossible,impossible
51340,btc-updown-5m-1789776300,1789776473231,reduced,reduced
51396,btc-updown-5m-1789776300,1789776489389,reduced,reduced
51458,btc-updown-5m-1789776300,1789776505354,complete,complete
51516,btc-updown-5m-1789776300,1789776520984,complete,complete
52354,btc-updown-5m-1789776600,1789776742369,complete,complete
52414,btc-updown-5m-1789776600,1789776757979,complete,complete
52470,btc-updown-5m-1789776600,1789776773161,complete,complete
52532,btc-updown-5m-1789776600,1789776789162,complete,reduced
52592,btc-updown-5m-1789776600,1789776804970,complete,impossible
52652,btc-updown-5m-1789776600,1789776820626,complete,impossible
52710,btc-updown-5m-1789776600,1789776836472,complete,impossible
52768,btc-updown-5m-1789776600,1789776851509,complete,impossible
52822,btc-updown-5m-1789776600,1789776867295,reduced,impossible
52884,btc-updown-5m-1789776600,1789776882873,reduced,impossible
52944,btc-updown-5m-1789776600,1789776898784,impossible,impossible
53488,btc-updown-5m-1789776900,1789777042133,complete,complete
53550,btc-updown-5m-1789776900,1789777057542,complete,complete
53608,btc-updown-5m-1789776900,1789777073111,complete,complete
53664,btc-updown-5m-1789776900,1789777089061,complete,complete
53724,btc-updown-5m-1789776900,1789777104826,reduced,reduced
53782,btc-updown-5m-1789776900,1789777119986,complete,reduced
53842,btc-updown-5m-1789776900,1789777135702,reduced,impossible
53902,btc-updown-5m-1789776900,1789777151211,complete,impossible
53988,btc-updown-5m-1789776900,1789777171918,impossible,impossible
54944,btc-updown-5m-1789777200,1789777446719,complete,complete
55004,btc-updown-5m-1789777200,1789777462663,complete,complete
55062,btc-updown-5m-1789777200,1789777477933,reduced,reduced
55122,btc-updown-5m-1789777200,1789777493786,impossible,impossible
57818,btc-updown-5m-1789778100,1789778339330,complete,complete
57878,btc-updown-5m-1789778100,1789778354971,reduced,reduced
57936,btc-updown-5m-1789778100,1789778370358,complete,impossible
57998,btc-updown-5m-1789778100,1789778386010,impossible,impossible
58964,btc-updown-5m-1789778400,1789778641299,reduced,reduced
59022,btc-updown-5m-1789778400,1789778656930,complete,complete
59082,btc-updown-5m-1789778400,1789778672737,complete,complete
59140,btc-updown-5m-1789778400,1789778687874,impossible,impossible
61802,btc-updown-5m-1789779300,1789779462445,complete,complete
61836,btc-updown-5m-1789779300,1789779478257,complete,complete
61866,btc-updown-5m-1789779300,1789779494134,complete,complete
61894,btc-updown-5m-1789779300,1789779509434,complete,reduced
61920,btc-updown-5m-1789779300,1789779524714,complete,impossible
61944,btc-updown-5m-1789779300,1789779540153,complete,impossible
61970,btc-updown-5m-1789779300,1789779558950,complete,impossible
61992,btc-updown-5m-1789779300,1789779574437,complete,impossible
62016,btc-updown-5m-1789779300,1789779590282,impossible,impossible
70110,btc-updown-5m-1789781700,1789781971768,complete,complete
70168,btc-updown-5m-1789781700,1789781987259,impossible,impossible
71088,btc-updown-5m-1789782000,1789782234122,reduced,reduced
71118,btc-updown-5m-1789782000,1789782249722,reduced,reduced
71148,btc-updown-5m-1789782000,1789782265220,reduced,reduced
71178,btc-updown-5m-1789782000,1789782280692,complete,reduced
71208,btc-updown-5m-1789782000,1789782296221,impossible,impossible
71564,btc-updown-5m-1789782300,1789782393885,complete,complete
71624,btc-updown-5m-1789782300,1789782409345,reduced,reduced
71682,btc-updown-5m-1789782300,1789782425007,complete,reduced
71742,btc-updown-5m-1789782300,1789782440885,reduced,impossible
