market_slug,trades,pnl,complete,reduced,impossible
btc-updown-5m-1789765200,10,-9.84471443811198,5,1,4
btc-updown-5m-1789765500,4,-6.7314285714285695,3,0,1
btc-updown-5m-1789766400,3,-5.5168000000000035,2,0,1
btc-updown-5m-1789768200,4,-19.35147190792066,0,3,1
btc-updown-5m-1789768500,5,-6.954523457645466,2,1,2
btc-updown-5m-1789772400,5,-10.267321428571421,3,1,1
btc-updown-5m-1789773000,4,-9.335693657420755,2,1,1
btc-updown-5m-1789775700,10,-8.657829045902224,2,3,5
btc-updown-5m-1789776300,4,-8.07790714285714,2,2,0
btc-updown-5m-1789776600,11,-18.119144339340142,3,1,7
btc-updown-5m-1789776900,9,-9.934827358136882,4,2,3
btc-updown-5m-1789777200,4,-11.91578618839322,2,1,1
btc-updown-5m-1789778100,4,-12.549696397651399,1,1,2
btc-updown-5m-1789778400,4,-2.909650000000007,2,1,1
btc-updown-5m-1789779300,9,-5.791176687997853,3,1,5
btc-updown-5m-1789781700,2,-6.6404499999999835,1,0,1
btc-updown-5m-1789782000,5,-15.89226719541994,0,4,1
btc-updown-5m-1789782300,14,-8.956911463101651,1,2,11
btc-updown-5m-1789783800,11,-16.06571992725926,3,2,6
btc-updown-5m-1789789200,2,-1.9980000000000016,1,0,1
btc-updown-5m-1789789500,4,-7.98355620847233,1,1,2
btc-updown-5m-1789790400,3,-5.1459972382162835,1,1,1
btc-updown-5m-1789790700,9,-17.304218699672067,1,3,5
btc-updown-5m-1789792800,9,-12.728197358438194,1,1,7
btc-updown-5m-1789793400,5,-8.85951242013569,1,1,3
btc-updown-5m-1789794900,4,-13.807035714285721,0,3,1
btc-updown-5m-1789795500,5,-8.11721464053204,1,3,1
btc-updown-5m-1789797000,5,-4.186371908300894,0,1,4
btc-updown-5m-1789797600,10,-3.863109159545391,2,0,8
btc-updown-5m-1789797900,10,-8.626942839142949,1,3,6
btc-updown-5m-1789799700,10,-9.669017391764925,1,2,7
btc-updown-5m-1789800300,1,-2.249649999999999,0,1,0
btc-updown-5m-1789800900,1,-0.03330000000000055,1,0,0
btc-updown-5m-1789801200,7,-13.523119535454681,3,2,2
btc-updown-5m-1789802100,5,-7.773880966437769,0,1,4
btc-updown-5m-1789803000,4,-6.048250566588316,0,1,3
btc-updown-5m-1789803600,4,-11.573829553336695,1,1,2
btc-updown-5m-1789804200,11,-4.96420670612095,1,1,9
btc-updown-5m-1789804500,5,-4.0915795171277916,2,1,2
btc-updown-5m-1789805100,11,-10.603351293402001,1,1,9
btc-updown-5m-1789805400,10,-2.999239338847837,1,1,8
btc-updown-5m-1789806000,10,-3.0794340087472953,1,1,8
btc-updown-5m-1789806900,4,-6.0728221055301095,0,1,3
btc-updown-5m-1789807500,4,-2.321163695741291,1,1,2
