market_slug,trades,pnl,complete,reduced,impossible
btc-updown-5m-1789765200,6,-13.81215469613257,5,1,0
btc-updown-5m-1789765500,4,-15.302857142857139,3,0,1
btc-updown-5m-1789766400,3,-9.559600000000003,2,0,1
btc-updown-5m-1789768200,3,-26.298264381100456,0,3,0
btc-updown-5m-1789768500,3,-7.690996826156123,2,1,0
btc-updown-5m-1789772400,5,-19.55303571428571,3,1,1
btc-updown-5m-1789773000,3,-15.768488918775766,2,1,0
btc-updown-5m-1789775700,5,-24.191692904928864,2,3,0
btc-updown-5m-1789776300,4,-10.477907142857141,2,2,0
btc-updown-5m-1789776600,4,-19.213745433117452,3,1,0
btc-updown-5m-1789776900,5,-11.20817991671187,4,0,1
btc-updown-5m-1789777200,2,-5.314499800717414,1,1,0
btc-updown-5m-1789778100,1,-5.254691718948834,0,1,0
btc-updown-5m-1789778400,4,-9.01995000000001,2,1,1
btc-updown-5m-1789779300,4,-11.937321697984498,3,1,0
btc-updown-5m-1789781700,2,-12.105249999999984,1,0,1
btc-updown-5m-1789782000,4,-31.248939392168555,0,4,0
btc-updown-5m-1789782300,3,-17.076895939440025,1,2,0
btc-updown-5m-1789783800,4,-14.665496313006763,2,2,0
btc-updown-5m-1789789200,2,-5.764000000000002,1,0,1
btc-updown-5m-1789789500,2,-10.192243166586636,1,1,0
btc-updown-5m-1789790400,2,-11.31364345524598,1,1,0
btc-updown-5m-1789790700,3,-21.285699953137147,0,3,0
btc-updown-5m-1789792800,1,-5.852706526004084,0,1,0
btc-updown-5m-1789793400,1,-4.345895478140619,0,1,0
btc-updown-5m-1789794900,4,-28.218650000000004,0,3,1
btc-updown-5m-1789795500,3,-16.73572519568941,0,3,0
btc-updown-5m-1789797000,1,-7.266885428563924,0,1,0
btc-updown-5m-1789797600,1,-1.9466554439911192,0,1,0
btc-updown-5m-1789797900,2,-12.525897777287689,0,2,0
btc-updown-5m-1789799700,1,-7.824306932406046,0,1,0
btc-updown-5m-1789800300,1,-6.74965,0,1,0
btc-updown-5m-1789800900,1,-0.03330000000000055,1,0,0
btc-updown-5m-1789801200,2,-6.746498462223526,1,1,0
btc-updown-5m-1789802100,1,-8.494983546524956,0,1,0
btc-updown-5m-1789803000,1,-7.028727182437137,0,1,0
btc-updown-5m-1789803600,1,-7.739418473229563,0,1,0
btc-updown-5m-1789804200,1,-5.776421238963998,0,1,0
btc-updown-5m-1789804500,1,-5.077325171374433,0,1,0
btc-updown-5m-1789805100,1,-7.957442876058511,0,1,0
btc-updown-5m-1789805400,1,-6.939434892436285,0,1,0
btc-updown-5m-1789806000,2,-9.918890320287794,1,1,0
btc-updown-5m-1789806900,1,-8.955447250656519,0,1,0
btc-updown-5m-1789807500,1,-4.573342148659221,0,1,0
