id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
11416,1789765359942,1789765374995,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,98.56,1.01,-0.01500000000000001
11470,1789765375566,1789765390643,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,223.79,1.01,-0.01500000000000001
11524,1789765390643,1789765405676,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,166.4,1.01,-0.01500000000000001
11580,1789765405676,1789765420753,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,155.4,1.01,-0.01500000000000001
11636,1789765420928,1789765436050,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,325.96,1.01,-0.01500000000000001
11696,1789765436494,1789765451590,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,480.66,1.01,-0.01500000000000001
11756,1789765452147,1789765467183,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.9,235.23,1.01,-0.01500000000000001
11814,1789765467922,1789765482978,btc-updown-5m-1789765200,5m,DOWN->UP,0.11,0.91,95.0,1.02,-0.02500000000000002
11874,1789765483599,1789765498664,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.91,100.0,1.01,-0.01500000000000001
11930,1789765498797,1789765513834,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.57,111.46,0.6699999999999999,0.32500000000000007
12836,1789765741765,1789765756815,btc-updown-5m-1789765500,5m,DOWN->UP,0.07,0.93,7.0,1.0,-0.005
12898,1789765757479,1789765772552,btc-updown-5m-1789765500,5m,DOWN->UP,0.08,0.94,199.77,1.02,-0.02500000000000002
12958,1789765773058,1789765788065,btc-updown-5m-1789765500,5m,DOWN->UP,0.07,0.94,167.0,1.01,-0.01500000000000001
13014,1789765788917,1789765803979,btc-updown-5m-1789765500,5m,DOWN->UP,0.07,0.28,207.0,0.35000000000000003,0.6449999999999999
16036,1789766650992,1789766666015,btc-updown-5m-1789766400,5m,DOWN->UP,0.14,0.92,19.16,1.06,-0.06500000000000006
16096,1789766666619,1789766681643,btc-updown-5m-1789766400,5m,DOWN->UP,0.1,0.94,50.0,1.04,-0.04500000000000003
16170,1789766682038,1789766703624,btc-updown-5m-1789766400,5m,DOWN->UP,0.09,0.5,67.38,0.59,0.405
22634,1789768449781,1789768464781,btc-updown-5m-1789768200,5m,DOWN->UP,0.03,0.98,136.33,1.01,-0.01500000000000001
22694,1789768465395,1789768480396,btc-updown-5m-1789768200,5m,DOWN->UP,0.03,0.98,16.33,1.01,-0.01500000000000001
22752,1789768481257,1789768496281,btc-updown-5m-1789768200,5m,DOWN->UP,0.03,0.99,801.3,1.02,-0.02500000000000002
22812,1789768496797,1789768511816,btc-updown-5m-1789768200,5m,DOWN->UP,0.02,0.58,423.73,0.6,0.395
23706,1789768731390,1789768746406,btc-updown-5m-1789768500,5m,DOWN->UP,0.04,0.97,134.99,1.01,-0.01500000000000001
23766,1789768747005,1789768762014,btc-updown-5m-1789768500,5m,DOWN->UP,0.04,0.97,167.23,1.01,-0.01500000000000001
