anchor_ts_ms,hedge_ts_ms,settle_ts,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,status,payout,pnl
1789765359942,1789765374995,1789765374995,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765375566,1789765390643,1789765390643,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765390643,1789765405676,1789765405676,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765405676,1789765420753,1789765420753,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765420928,1789765436050,1789765436050,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765436494,1789765451590,1789765451590,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765452147,1789765467183,1789765467183,btc-updown-5m-1789765200,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789765467922,1789765482978,1789765482978,btc-updown-5m-1789765200,10.0,0.11,0.91,90.9090909090909,10.0,82.72727272727273,0.45454545454545453,93.18181818181819,1.025,SETTLED,90.9090909090909,-2.2727272727272805
1789765483599,1789765498664,1789765498664,btc-updown-5m-1789765200,10.0,0.1,0.91,100.0,10.0,91.0,0.5,101.5,1.015,SETTLED,100.0,-1.5
1789765498797,1789765513834,1789765513834,btc-updown-5m-1789765200,10.0,0.1,0.57,100.0,10.0,56.99999999999999,0.5,67.5,0.6749999999999999,SETTLED,100.0,32.5
1789765741765,1789765756815,1789765756815,btc-updown-5m-1789765500,10.0,0.07,0.93,7.0,0.49000000000000005,6.510000000000001,0.035,7.035000000000001,1.005,SETTLED,7.0,-0.03500000000000103
