id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_bid,first_ask,first_bid_qty,first_ask_qty,second_ask,second_ask_qty,executable_qty,pair_cost,gross_edge,market_end_ms
11416,1789765359942,1789765374995,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,444.62,98.56,0.9,483.99,98.56,1.01,-0.010000000000000009,1789765500000
11470,1789765375566,1789765390643,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,523.99,223.79,0.9,495.95,223.79,1.01,-0.010000000000000009,1789765500000
11524,1789765390643,1789765405676,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,495.95,253.79,0.9,166.4,166.4,1.01,-0.010000000000000009,1789765500000
11580,1789765405676,1789765420753,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,166.4,657.05,0.9,155.4,155.4,1.01,-0.010000000000000009,1789765500000
11636,1789765420928,1789765436050,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,155.4,947.23,0.9,325.96,325.96,1.01,-0.010000000000000009,1789765500000
11696,1789765436494,1789765451590,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,352.28,806.68,0.9,480.66,480.66,1.01,-0.010000000000000009,1789765500000
11756,1789765452147,1789765467183,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,449.27,679.47,0.9,235.23,235.23,1.01,-0.010000000000000009,1789765500000
11814,1789765467922,1789765482978,btc-updown-5m-1789765200,5m,DOWN->UP,0.1,0.11,235.23,944.22,0.91,95.0,95.0,1.02,-0.020000000000000018,1789765500000
11874,1789765483599,1789765498664,btc-updown-5m-1789765200,5m,DOWN->UP,0.09,0.1,95.0,1173.99,0.91,100.0,100.0,1.01,-0.010000000000000009,1789765500000
11930,1789765498797,1789765513834,btc-updown-5m-1789765200,5m,DOWN->UP,0.09,0.1,100.0,1455.04,0.57,111.46,111.46,0.6699999999999999,0.33000000000000007,1789765500000
12836,1789765741765,1789765756815,btc-updown-5m-1789765500,5m,DOWN->UP,0.06,0.07,412.13,7.0,0.93,183.74,7.0,1.0,0.0,1789765800000
12898,1789765757479,1789765772552,btc-updown-5m-1789765500,5m,DOWN->UP,0.07,0.08,183.74,227.0,0.94,199.77,199.77,1.02,-0.020000000000000018,1789765800000
12958,1789765773058,1789765788065,btc-updown-5m-1789765500,5m,DOWN->UP,0.06,0.07,209.77,167.0,0.94,188.59,167.0,1.01,-0.010000000000000009,1789765800000
13014,1789765788917,1789765803979,btc-updown-5m-1789765500,5m,DOWN->UP,0.06,0.07,183.43,207.0,0.28,371.82,207.0,0.35000000000000003,0.6499999999999999,1789765800000
16036,1789766650992,1789766666015,btc-updown-5m-1789766400,5m,DOWN->UP,0.11,0.14,92.0,19.16,0.92,37.49,19.16,1.06,-0.06000000000000005,1789766700000
16096,1789766666619,1789766681643,btc-updown-5m-1789766400,5m,DOWN->UP,0.08,0.1,24.06,50.0,0.94,609.75,50.0,1.04,-0.040000000000000036,1789766700000
16170,1789766682038,1789766703624,btc-updown-5m-1789766400,5m,DOWN->UP,0.06,0.09,609.75,67.38,0.5,135.2,67.38,0.59,0.41000000000000003,1789766700000
22634,1789768449781,1789768464781,btc-updown-5m-1789768200,5m,DOWN->UP,0.02,0.03,225.85,593.55,0.98,136.33,136.33,1.01,-0.010000000000000009,1789768500000
22694,1789768465395,1789768480396,btc-updown-5m-1789768200,5m,DOWN->UP,0.02,0.03,136.33,694.2,0.98,16.33,16.33,1.01,-0.010000000000000009,1789768500000
22752,1789768481257,1789768496281,btc-updown-5m-1789768200,5m,DOWN->UP,0.02,0.03,16.33,801.3,0.99,2938.8,801.3,1.02,-0.020000000000000018,1789768500000
22812,1789768496797,1789768511816,btc-updown-5m-1789768200,5m,DOWN->UP,0.01,0.02,2938.8,600.37,0.58,423.73,423.73,0.6,0.4,1789768500000
23706,1789768731390,1789768746406,btc-updown-5m-1789768500,5m,DOWN->UP,0.03,0.04,792.7,134.99,0.97,478.42,134.99,1.01,-0.010000000000000009,1789768800000
23766,1789768747005,1789768762014,btc-updown-5m-1789768500,5m,DOWN->UP,0.03,0.04,478.42,167.23,0.97,548.42,167.23,1.01,-0.010000000000000009,1789768800000
23828,1789768762883,1789768777900,btc-updown-5m-1789768500,5m,DOWN->UP,0.03,0.04,548.42,157.14,0.97,583.72,157.14,1.01,-0.010000000000000009,1789768800000
23888,1789768778640,1789768793683,btc-updown-5m-1789768500,5m,DOWN->UP,0.03,0.04,563.72,452.49,0.97,219.84,219.84,1.01,-0.010000000000000009,1789768800000
23948,1789768794467,1789768809490,btc-updown-5m-1789768500,5m,DOWN->UP,0.03,0.04,214.84,566.49,0.49,160.1,160.1,0.53,0.47,1789768800000
37314,1789772608976,1789772624027,btc-updown-5m-1789772400,5m,DOWN->UP,0.13,0.14,164.0,149.0,0.87,485.08,149.0,1.01,-0.010000000000000009,1789772700000
37374,1789772624721,1789772639744,btc-updown-5m-1789772400,5m,DOWN->UP,0.13,0.14,485.08,546.36,0.87,595.54,546.36,1.01,-0.010000000000000009,1789772700000
37432,1789772640395,1789772655411,btc-updown-5m-1789772400,5m,DOWN->UP,0.13,0.14,595.54,260.99,0.87,785.71,260.99,1.01,-0.010000000000000009,1789772700000
37494,1789772656040,1789772671370,btc-updown-5m-1789772400,5m,DOWN->UP,0.13,0.14,785.71,171.0,0.87,29.29,29.29,1.01,-0.010000000000000009,1789772700000
37584,1789772675638,1789772704942,btc-updown-5m-1789772400,5m,DOWN->UP,0.13,0.14,29.29,695.45,0.45,757.99,695.45,0.5900000000000001,0.4099999999999999,1789772700000
39578,1789773246231,1789773261256,btc-updown-5m-1789773000,5m,DOWN->UP,0.04,0.05,464.07,504.0,0.96,501.33,501.33,1.01,-0.010000000000000009,1789773300000
39638,1789773261808,1789773276845,btc-updown-5m-1789773000,5m,DOWN->UP,0.04,0.05,551.33,189.78,0.96,606.68,189.78,1.01,-0.010000000000000009,1789773300000
39698,1789773277565,1789773292573,btc-updown-5m-1789773000,5m,DOWN->UP,0.04,0.05,606.68,718.78,0.96,538.35,538.35,1.01,-0.010000000000000009,1789773300000
39758,1789773293109,1789773308110,btc-updown-5m-1789773000,5m,DOWN->UP,0.04,0.05,538.35,190.41,0.57,296.44,190.41,0.62,0.38,1789773300000
49064,1789775849650,1789775864787,btc-updown-5m-1789775700,5m,DOWN->UP,0.07,0.08,741.63,616.95,0.93,707.32,616.95,1.01,-0.010000000000000009,1789776000000
49124,1789775865448,1789775880490,btc-updown-5m-1789775700,5m,DOWN->UP,0.07,0.08,707.32,620.82,0.92,30.0,30.0,1.0,0.0,1789776000000
49180,1789775880571,1789775895623,btc-updown-5m-1789775700,5m,DOWN->UP,0.08,0.09,30.0,400.8,0.93,185.0,185.0,1.02,-0.020000000000000018,1789776000000
49236,1789775895623,1789775910697,btc-updown-5m-1789775700,5m,DOWN->UP,0.07,0.08,185.0,164.99,0.91,58.27,58.27,0.99,0.010000000000000009,1789776000000
49294,1789775911109,1789775926111,btc-updown-5m-1789775700,5m,DOWN->UP,0.09,0.1,58.27,202.82,0.92,145.0,145.0,1.02,-0.020000000000000018,1789776000000
49348,1789775926111,1789775942036,btc-updown-5m-1789775700,5m,DOWN->UP,0.08,0.09,145.0,84.99,0.92,25.0,25.0,1.01,-0.010000000000000009,1789776000000
49396,1789775942036,1789775957039,btc-updown-5m-1789775700,5m,DOWN->UP,0.08,0.09,25.0,68.78,0.92,5.0,5.0,1.01,-0.010000000000000009,1789776000000
49444,1789775958519,1789775973534,btc-updown-5m-1789775700,5m,DOWN->UP,0.08,0.09,5.0,168.34,0.93,72.54,72.54,1.02,-0.020000000000000018,1789776000000
49498,1789775974353,1789775989432,btc-updown-5m-1789775700,5m,DOWN->UP,0.07,0.08,62.54,269.8,0.93,37.45,37.45,1.01,-0.010000000000000009,1789776000000
49558,1789775990100,1789776005137,btc-updown-5m-1789775700,5m,DOWN->UP,0.07,0.08,112.45,186.93,0.61,339.2,186.93,0.69,0.31000000000000005,1789776000000
51340,1789776473231,1789776488249,btc-updown-5m-1789776300,5m,DOWN->UP,0.06,0.07,20.0,472.54,0.94,20.0,20.0,1.01,-0.010000000000000009,1789776600000
