market_slug,trades,pnl,wins
btc-updown-5m-1789765500,4,125.98075,1
btc-updown-5m-1789794900,4,76.45629285714284,1
btc-updown-5m-1789789200,2,68.6145,1
btc-updown-5m-1789772400,5,50.98922142857134,1
btc-updown-5m-1789777200,4,37.29712211920277,1
btc-updown-5m-1789766400,3,23.793499999999995,1
btc-updown-5m-1789778400,4,20.92824999999999,1
btc-updown-5m-1789803600,4,9.78175000000001,1
btc-updown-5m-1789781700,2,7.794750000000018,1
btc-updown-5m-1789776300,4,0.7292357142857284,1
btc-updown-5m-1789800900,1,-0.03329999999999966,0
btc-updown-5m-1789824600,1,-0.05084999999999962,0
btc-updown-5m-1789800300,1,-0.09795000000000087,0
btc-updown-5m-1789818300,1,-0.4749999999999943,0
btc-updown-5m-1789823700,1,-0.6002036133899367,0
btc-updown-5m-1789807500,4,-0.7045499999999945,1
btc-updown-5m-1789822800,2,-1.2284258717586418,0
btc-updown-5m-1789820700,2,-1.2453294986617798,1
btc-updown-5m-1789822200,3,-1.2475538107363047,1
btc-updown-5m-1789820100,2,-1.5764934710188427,0
btc-updown-5m-1789821600,2,-1.6819292926829945,0
btc-updown-5m-1789819500,2,-1.7834709970180214,0
btc-updown-5m-1789815600,2,-2.0346809037298907,0
btc-updown-5m-1789808400,3,-2.039797786272512,0
btc-updown-5m-1789814700,2,-2.4020253087231858,0
btc-updown-5m-1789813200,2,-2.5165084142000733,0
btc-updown-5m-1789811100,1,-2.692765621175994,0
btc-updown-5m-1789809600,4,-2.825778736754189,0
btc-updown-5m-1789808700,1,-2.866219535577244,0
btc-updown-5m-1789806000,4,-3.4087772529294225,0
btc-updown-5m-1789806900,1,-3.4588651588840946,0
btc-updown-5m-1789804500,2,-4.152707142857167,0
btc-updown-5m-1789812600,1,-4.3233683187551435,0
btc-updown-5m-1789773000,4,-4.72692698013981,1
btc-updown-5m-1789803000,1,-4.885242467281103,0
btc-updown-5m-1789805400,2,-4.961400129980433,0
btc-updown-5m-1789802100,1,-4.969566859231691,0
btc-updown-5m-1789804200,3,-5.6001807037213,0
btc-updown-5m-1789776900,5,-5.863165656431747,0
btc-updown-5m-1789797600,2,-5.865704681101818,0
btc-updown-5m-1789805100,2,-6.123348891241854,0
btc-updown-5m-1789792800,1,-6.171481692703992,0
btc-updown-5m-1789783800,6,-6.35973059827031,0
btc-updown-5m-1789801200,5,-6.627009973142738,0
btc-updown-5m-1789790400,2,-6.9693337298673725,0
btc-updown-5m-1789765200,4,-7.138677649422409,0
btc-updown-5m-1789797900,4,-7.435908863688423,1
btc-updown-5m-1789778100,2,-7.576258719211566,0
btc-updown-5m-1789797000,2,-7.584788050031904,0
btc-updown-5m-1789779300,3,-7.7545253803442336,0
btc-updown-5m-1789768500,4,-8.472258937685737,0
btc-updown-5m-1789790700,5,-8.644974250644049,0
btc-updown-5m-1789799700,1,-8.920605286687703,0
btc-updown-5m-1789793400,2,-9.197203104236458,0
btc-updown-5m-1789782300,3,-9.284564097178048,0
btc-updown-5m-1789782000,4,-9.30665845305542,0
btc-updown-5m-1789775700,5,-9.7174560532453,1
btc-updown-5m-1789789500,2,-11.000449999999958,0
btc-updown-5m-1789795500,5,-12.024734656669088,0
btc-updown-5m-1789768200,3,-13.148588273739346,0
btc-updown-5m-1789776600,4,-23.47483559443512,0
