market_slug,first_ts,duration
btc-updown-15m-1789764300,1789764300375,15m
btc-updown-5m-1789764300,1789764305303,5m
btc-updown-5m-1789764600,1789764600398,5m
btc-updown-5m-1789764900,1789764900763,5m
btc-updown-5m-1789765200,1789765200486,5m
btc-updown-15m-1789765200,1789765200614,15m
btc-updown-5m-1789765500,1789765500933,5m
btc-updown-5m-1789765800,1789765801838,5m
btc-updown-15m-1789766100,1789766101746,15m
btc-updown-5m-1789766100,1789766101903,5m
btc-updown-5m-1789766400,1789766404121,5m
btc-updown-5m-1789766700,1789766703624,5m
btc-updown-15m-1789767000,1789767000871,15m
btc-updown-5m-1789767000,1789767001742,5m
btc-updown-5m-1789767300,1789767300534,5m
btc-updown-5m-1789767600,1789767600827,5m
btc-updown-5m-1789767900,1789767900788,5m
btc-updown-15m-1789767900,1789767901219,15m
btc-updown-5m-1789768200,1789768200823,5m
btc-updown-5m-1789768500,1789768502180,5m
btc-updown-15m-1789768800,1789768801170,15m
btc-updown-5m-1789768800,1789768801546,5m
btc-updown-5m-1789769100,1789769102499,5m
btc-updown-5m-1789769400,1789769400803,5m
btc-updown-5m-1789769700,1789769701205,5m
btc-updown-15m-1789769700,1789769701982,15m
btc-updown-5m-1789770000,1789770001696,5m
btc-updown-5m-1789770300,1789770300367,5m
btc-updown-15m-1789770600,1789770601903,15m
btc-updown-5m-1789770600,1789770602056,5m
btc-updown-5m-1789770900,1789770904450,5m
btc-updown-5m-1789771200,1789771201933,5m
btc-updown-5m-1789771500,1789771501571,5m
btc-updown-15m-1789771500,1789771501624,15m
btc-updown-5m-1789771800,1789771800365,5m
btc-updown-5m-1789772100,1789772100408,5m
btc-updown-5m-1789772400,1789772400286,5m
btc-updown-15m-1789772400,1789772401232,15m
btc-updown-5m-1789772700,1789772704942,5m
btc-updown-5m-1789773000,1789773001612,5m
btc-updown-5m-1789773300,1789773302123,5m
btc-updown-15m-1789773300,1789773302198,15m
btc-updown-5m-1789773600,1789773600694,5m
btc-updown-5m-1789773900,1789773901572,5m
btc-updown-15m-1789774200,1789774200768,15m
btc-updown-5m-1789774200,1789774203405,5m
btc-updown-5m-1789774500,1789774501208,5m
btc-updown-5m-1789774800,1789774801964,5m
btc-updown-5m-1789775100,1789775102091,5m
btc-updown-15m-1789775100,1789775102226,15m
btc-updown-5m-1789775400,1789775404849,5m
btc-updown-5m-1789775700,1789775701061,5m
btc-updown-15m-1789776000,1789776001379,15m
btc-updown-5m-1789776000,1789776004629,5m
btc-updown-5m-1789776300,1789776302207,5m
btc-updown-5m-1789776600,1789776600361,5m
btc-updown-15m-1789776900,1789776900766,15m
btc-updown-5m-1789776900,1789776901091,5m
btc-updown-5m-1789777200,1789777201129,5m
btc-updown-5m-1789777500,1789777501141,5m
btc-updown-15m-1789777800,1789777800736,15m
btc-updown-5m-1789777800,1789777800901,5m
btc-updown-5m-1789778100,1789778100383,5m
btc-updown-5m-1789778400,1789778401729,5m
btc-updown-5m-1789778700,1789778701786,5m
btc-updown-15m-1789778700,1789778701951,15m
btc-updown-5m-1789779000,1789779000376,5m
btc-updown-5m-1789779300,1789779302121,5m
btc-updown-5m-1789779600,1789779601581,5m
btc-updown-15m-1789779600,1789779602539,15m
btc-updown-5m-1789779900,1789779901036,5m
btc-updown-5m-1789780200,1789780201316,5m
btc-updown-15m-1789780500,1789780500318,15m
btc-updown-5m-1789780500,1789780503575,5m
btc-updown-5m-1789780800,1789780800368,5m
btc-updown-5m-1789781100,1789781101067,5m
btc-updown-15m-1789781400,1789781401301,15m
btc-updown-5m-1789781400,1789781403989,5m
btc-updown-5m-1789781700,1789781701072,5m
btc-updown-5m-1789782000,1789782001596,5m
btc-updown-15m-1789782300,1789782300401,15m
btc-updown-5m-1789782300,1789782301849,5m
btc-updown-5m-1789782600,1789782600818,5m
btc-updown-5m-1789782900,1789782901639,5m
btc-updown-15m-1789783200,1789783200766,15m
btc-updown-5m-1789783200,1789783204115,5m
btc-updown-5m-1789783500,1789783504208,5m
btc-updown-5m-1789783800,1789783800543,5m
btc-updown-5m-1789784100,1789784102132,5m
btc-updown-15m-1789784100,1789784104673,15m
btc-updown-5m-1789784400,1789784400874,5m
btc-updown-5m-1789784700,1789784701011,5m
btc-updown-15m-1789785000,1789785000575,15m
btc-updown-5m-1789785000,1789785000639,5m
btc-updown-5m-1789785300,1789785300485,5m
btc-updown-5m-1789785600,1789785600942,5m
btc-updown-5m-1789785900,1789785901457,5m
btc-updown-15m-1789785900,1789785903195,15m
btc-updown-5m-1789786200,1789786201945,5m
btc-updown-5m-1789786500,1789786501788,5m
btc-updown-5m-1789786800,1789786801256,5m
btc-updown-15m-1789786800,1789786802063,15m
btc-updown-5m-1789787100,1789787105086,5m
btc-updown-5m-1789787400,1789787400438,5m
btc-updown-15m-1789787700,1789787700306,15m
btc-updown-5m-1789787700,1789787701164,5m
btc-updown-5m-1789788000,1789788000697,5m
btc-updown-5m-1789788300,1789788304826,5m
btc-updown-15m-1789788600,1789788600435,15m
btc-updown-5m-1789788600,1789788602287,5m
btc-updown-5m-1789788900,1789788900303,5m
btc-updown-5m-1789789200,1789789200277,5m
btc-updown-15m-1789789500,1789789501133,15m
btc-updown-5m-1789789500,1789789502049,5m
btc-updown-5m-1789789800,1789789801873,5m
btc-updown-5m-1789790100,1789790101897,5m
btc-updown-15m-1789790400,1789790400343,15m
btc-updown-5m-1789790400,1789790401587,5m
btc-updown-5m-1789790700,1789790701761,5m
btc-updown-5m-1789791000,1789791000686,5m
btc-updown-5m-1789791300,1789791300300,5m
btc-updown-15m-1789791300,1789791301538,15m
btc-updown-5m-1789791600,1789791604341,5m
btc-updown-5m-1789791900,1789791901262,5m
